clustername,memorytotal,memorypercent,cputotal,cpupercent,nodecount,health,message
blr-dev-cops,71225,23,18000,72,6,HEALTHY,Cluster is healthy
blr-dev-test,71225,19,18000,57,6,HEALTHY,Cluster is healthy
cdg-dr-ciapps,111575,15,44000,27,7,HEALTHY,Cluster is healthy
cdg-dr-cops,95377,15,36000,30,6,HEALTHY,Cluster is healthy
cdg-dr-e2net,239688,9,60000,28,9,HEALTHY,Cluster is healthy
cdg-dr-e2net-cdm-platform,240788,6,36000,30,6,HEALTHY,Cluster is healthy
cdg-dr-e2proxy,95636,18,36000,32,6,HEALTHY,Cluster is healthy
cdg-dr-sharedservices,95636,15,36000,30,6,HEALTHY,Cluster is healthy
ch3-prod-channel,143689,11,36000,36,6,HEALTHY,Cluster is healthy
ch3-prod-e2net,239688,10,60000,34,9,HEALTHY,Cluster is healthy
ch3-prod-gtm,175689,10,44000,32,7,HEALTHY,Cluster is healthy
ch3-prod-sharedservices,175689,10,44000,33,7,HEALTHY,Cluster is healthy
chg-prod-cargoscreening-tkc,119821,10,72000,15,6,HEALTHY,Cluster is healthy
chg-prod-cdm-awx-tkc,305111,8,44000,42,7,HEALTHY,Cluster is healthy
chg-prod-ci-apps-tkc,111575,12,44000,29,7,HEALTHY,Cluster is healthy
chg-prod-cops-tkc,111575,12,44000,29,7,HEALTHY,Cluster is healthy
chg-prod-e2proxy-tkc,304355,18,76000,35,11,HEALTHY,Cluster is healthy
chg-prod-e2proxy-walkme-tkc,55505,26,28000,38,5,HEALTHY,Cluster is healthy
chg-prod-rdm-tkc,240788,6,36000,66,6,HEALTHY,Cluster is healthy
chg-prod-sharedservices-tkc,95636,23,36000,49,6,HEALTHY,Cluster is healthy
chg-prod-vault-tkc,47255,35,24000,53,6,HEALTHY,Cluster is healthy
den-dr-cops,95380,3,24000,26,6,HEALTHY,Cluster is healthy
den-tanzu-ci-apps-tkc,95636,12,48000,24,6,HEALTHY,Cluster is healthy
den-tanzu-e2proxy-tkc,111577,15,44000,31,7,HEALTHY,Cluster is healthy
den-tanzu-e2proxy-walkme-tkc,55505,21,28000,38,5,HEALTHY,Cluster is healthy
e2dev-tanzu-ci-tkc,826867,13,108000,49,9,HEALTHY,Cluster is healthy
e2dev-tanzu-cs-tkc,817428,34,204000,30,27,WARNING,1 node is in WARNING state.
e2dev-tanzu-rdm-devqa-tkc,240788,7,36000,36,6,HEALTHY,Cluster is healthy
e2dev-tanzu-rdm-tkc,305111,5,44000,32,7,HEALTHY,Cluster is healthy
fr8-prod-e2net,239688,10,60000,33,9,HEALTHY,Cluster is healthy
fr8-prod-e2net-cdm-platform,240788,4,36000,27,6,HEALTHY,Cluster is healthy
