clustername,memorytotal,memorypercent,cputotal,cpupercent,nodecount,health,message
blr-dev-cops,71225,23,18000,71,6,HEALTHY,Cluster is healthy
e2dev-tanzu-ci-tkc,826867,13,108000,48,9,HEALTHY,Cluster is healthy
e2dev-tanzu-cs-tkc,817428,34,204000,30,27,WARNING,1 node is in WARNING state.
e2dev-tanzu-rdm-devqa-tkc,240788,7,36000,36,6,HEALTHY,Cluster is healthy
e2dev-tanzu-rdm-tkc,305111,15,44000,35,7,HEALTHY,Cluster is healthy
sv4-dev-channel,175689,10,44000,32,7,HEALTHY,Cluster is healthy
sv4-dev-ci,207688,10,52000,38,8,HEALTHY,Cluster is healthy
sv4-dev-cl,63380,19,16000,58,5,HEALTHY,Cluster is healthy
sv4-dev-cops,71224,24,24000,56,6,HEALTHY,Cluster is healthy
sv4-dev-devtools,239688,31,60000,78,9,HEALTHY,Cluster is healthy
sv4-dev-e2net,561337,24,140000,39,11,HEALTHY,Cluster is healthy
sv4-dev-e2proxy,175689,12,44000,34,7,HEALTHY,Cluster is healthy
sv4-dev-gtm,175689,11,44000,33,7,HEALTHY,Cluster is healthy
sv4-dev-portworx-demo1,111276,17,28000,59,7,HEALTHY,Cluster is healthy
sv4-dev-portworx-demo2,0,0,0,0,7,DISCONNECTED,Disconnected. Last heartbeat 2024-02-27T08:07:27Z
sv4-dev-rdm,143689,10,36000,30,6,HEALTHY,Cluster is healthy
sv4-dev-rnd-sandbox,175689,10,44000,34,7,HEALTHY,Cluster is healthy
sv4-dev-sharedservices,561337,19,140000,25,11,HEALTHY,Cluster is healthy
