clustername,memorytotal,memorypercent,cputotal,cpupercent,nodecount,health,message
fr8-stg-ci,95377,20,36000,37,6,HEALTHY,Cluster is healthy
fr8-stg-cops,95640,5,24000,34,6,HEALTHY,Cluster is healthy
fr8-stg-e2net,271688,11,68000,37,10,WARNING,1 worker node is in UNKNOWN state.
fr8-stg-e2net-cdm-platform,240788,4,36000,27,6,HEALTHY,Cluster is healthy
fr8-stg-sharedservices,175689,10,44000,39,7,HEALTHY,Cluster is healthy
stg-cargoscreening-tkc,119821,12,72000,16,6,HEALTHY,Cluster is healthy
stg-cdm-awx-tkc,305111,9,44000,44,7,HEALTHY,Cluster is healthy
stg-cdm-ppi-tkc,948341,27,124000,17,17,HEALTHY,Cluster is healthy
stg-cdm-waf-tkc,47256,10,24000,30,6,HEALTHY,Cluster is healthy
stg-fra-ci-apps-tkc,95636,14,36000,36,6,HEALTHY,Cluster is healthy
stg-fra-e2proxy-tkc,176087,11,44000,32,7,HEALTHY,Cluster is healthy
stg-fra-e2proxy-walkme-tkc,31315,33,20000,49,5,HEALTHY,Cluster is healthy
stg-shared-service-tkc,434319,3,60000,20,6,HEALTHY,Cluster is healthy
stg-tanzu-ci-apps-tkc,111575,15,44000,31,7,HEALTHY,Cluster is healthy
stg-tanzu-e2proxy-tkc,127514,42,52000,42,8,HEALTHY,Cluster is healthy
stg-tanzu-e2proxy-walkme-tkc,47255,38,24000,52,6,HEALTHY,Cluster is healthy
stg-tanzu-rdm-sb-tkc,240788,6,36000,68,6,HEALTHY,Cluster is healthy
stg-tanzu-rdm-uat-tkc,240788,7,36000,36,6,HEALTHY,Cluster is healthy
sv4-stg-channel,175689,10,44000,32,7,HEALTHY,Cluster is healthy
sv4-stg-e2net,432925,20,108000,18,9,HEALTHY,Cluster is healthy
sv4-stg-gtm,143689,11,36000,35,6,HEALTHY,Cluster is healthy
sv4-stg-sharedservices,175689,13,44000,39,7,HEALTHY,Cluster is healthy
