clustername,distribution
cdg-dr-ciapps,v1.22.9
cdg-dr-e2net-cdm-platform,v1.22.9
cdg-dr-e2proxy,v1.22.9
cdg-dr-sharedservices,v1.22.9
chg-prod-cargoscreening-tkc,v1.22.9
chg-prod-cdm-awx-tkc,v1.22.9
chg-prod-ci-apps-tkc,v1.22.9
chg-prod-cops-tkc,v1.22.9
chg-prod-e2proxy-tkc,v1.22.9
chg-prod-e2proxy-walkme-tkc,v1.22.9
chg-prod-rdm-tkc,v1.22.9
chg-prod-sharedservices-tkc,v1.22.9
chg-prod-vault-tkc,v1.22.9
den-tanzu-e2proxy-walkme-tkc,v1.22.9
e2dev-tanzu-ci-tkc,v1.22.9
e2dev-tanzu-cs-tkc,v1.22.9
fra-prod-ci-apps-tkc,v1.22.9
fra-prod-cops-tkc,v1.22.9
fra-prod-e2proxy-tkc,v1.22.9
fra-prod-e2proxy-walkme-tkc,v1.22.9
fra-prod-sharedservices-tkc,v1.22.9
sha-prod-ci-apps-tkc,v1.22.9
sha-prod-e2proxy-tkc,v1.22.9
sjca-prod-ci-apps-tkc,v1.22.9
sjca-prod-cops-tkc,v1.22.9
sjca-prod-e2proxy-tkc,v1.22.9
sjca-prod-vault-tkc,v1.22.9
sjc-prod-sharedservices,v1.22.9
stg-cargoscreening-tkc,v1.22.9
stg-cdm-awx-tkc,v1.22.9
stg-cdm-ppi-tkc,v1.22.9
stg-fra-ci-apps-tkc,v1.22.9
stg-fra-e2proxy-tkc,v1.22.9
stg-fra-e2proxy-walkme-tkc,v1.22.9
stg-shared-service-tkc,v1.22.9
stg-tanzu-ci-apps-tkc,v1.22.9
stg-tanzu-e2proxy-tkc,v1.22.9
stg-tanzu-e2proxy-walkme-tkc,v1.22.9
stg-tanzu-rdm-sb-tkc,v1.22.9
stg-tanzu-rdm-uat-tkc,v1.22.9
sv4-dr-cdm-e2proxy,v1.22.9
sv4-dr-rdm,v1.22.9
den-tanzu-ci-apps-tkc,v1.23.8
den-tanzu-e2proxy-tkc,v1.23.8
fr8-prod-vault-tkc,v1.23.8
fr8-stg-cops,v1.23.8
stg-cdm-waf-tkc,v1.23.8
blr-dev-cops,v1.24.11
blr-dev-test,v1.24.11
cdg-dr-cops,v1.24.11
cdg-dr-e2net,v1.24.11
ch3-prod-channel,v1.24.11
ch3-prod-e2net,v1.24.11
ch3-prod-gtm,v1.24.11
ch3-prod-sharedservices,v1.24.11
den-dr-cops,v1.24.11
falco-test,v1.24.11
fr8-prod-e2net,v1.24.11
fr8-prod-sharedservices,v1.24.11
fr8-stg-ci,v1.24.11
fr8-stg-e2net,v1.24.11
fr8-stg-sharedservices,v1.24.11
king-trainging,v1.24.11
network-test,v1.24.11
sha-prod-sharedservices,v1.24.11
sv1-prod-e2net,v1.24.11
sv1-prod-sharedservices,v1.24.11
sv4-dev-channel,v1.24.11
sv4-dev-ci,v1.24.11
sv4-dev-cl,v1.24.11
sv4-dev-devtools,v1.24.11
sv4-dev-e2net,v1.24.11
sv4-dev-e2proxy,v1.24.11
sv4-dev-gtm,v1.24.11
sv4-dev-rnd-sandbox,v1.24.11
sv4-dev-sharedservices,v1.24.11
sv4-stg-channel,v1.24.11
sv4-stg-e2net,v1.24.11
sv4-stg-gtm,v1.24.11
sv4-stg-sharedservices,v1.24.11
fr8-prod-e2net-cdm-platform,
fr8-stg-e2net-cdm-platform,
