namespace,clustername,workspace,mgmtcluster
rdm-es-prod,fr8-prod-e2net-cdm-platform,fr8-prod-rdm,attached
rdm-prod,fr8-prod-e2net-cdm-platform,fr8-prod-rdm,attached
rdm-es-uat,fr8-stg-e2net-cdm-platform,fr8stg-rdm,attached
rdm-uat,fr8-stg-e2net-cdm-platform,fr8stg-rdm,attached
ci-apps,cdg-dr-ciapps,prod-fra-ci-developer,cdg-dr
e2net-es,cdg-dr-e2net,cdg-dr-e2net,cdg-dr
e2net-kosh,cdg-dr-e2net,cdg-dr-e2net,cdg-dr
e2net-zk,cdg-dr-e2net,cdg-dr-e2net,cdg-dr
e2proxy,cdg-dr-e2proxy,prod-fra-ci-developer,cdg-dr
kosh,cdg-dr-sharedservices,cdg-dr-sharedservices,cdg-dr
kosh-e2net,cdg-dr-sharedservices,cdg-dr-sharedservices,cdg-dr
watermill,cdg-dr-sharedservices,watermill,cdg-dr
crp-mrri,ch3-prod-channel,ch3-prod-channel,chg-prod-tanzu-k8s
e2net-es,ch3-prod-e2net,ch3-prod-e2net,chg-prod-tanzu-k8s
e2net-kosh,ch3-prod-e2net,ch3-prod-e2net,chg-prod-tanzu-k8s
e2net-zk,ch3-prod-e2net,ch3-prod-e2net,chg-prod-tanzu-k8s
cargoscreening-prod,ch3-prod-gtm,ch3-prod-gtm,chg-prod-tanzu-k8s
kosh,ch3-prod-sharedservices,ch3-prod-sharedservices,chg-prod-tanzu-k8s
kosh-e2net-cisco,ch3-prod-sharedservices,ch3-prod-sharedservices,chg-prod-tanzu-k8s
cargoscreening-prod,chg-prod-cargoscreening-tkc,chg-cargoscreening-devteam,chg-prod-tanzu-k8s
ci-prod,chg-prod-ci-apps-tkc,chg-prod-ci-apps-tkc-ci-developer,chg-prod-tanzu-k8s
monitor-log-testbench,chg-prod-ci-apps-tkc,chg-prod-ci-apps-tkc-cloudoperation,chg-prod-tanzu-k8s
monitor-logging,chg-prod-ci-apps-tkc,chg-prod-ci-apps-tkc-cloudoperation,chg-prod-tanzu-k8s
k8smonitor,chg-prod-ci-apps-tkc,chg-tanzu-monitor,chg-prod-tanzu-k8s
monitor-zabbix,chg-prod-ci-apps-tkc,chg-tanzu-monitor,chg-prod-tanzu-k8s
e2proxy,chg-prod-e2proxy-tkc,chg-prod-ci-apps-tkc-ci-developer,chg-prod-tanzu-k8s
monitor-log-testbench,chg-prod-e2proxy-tkc,chg-prod-e2proxy-tkc-cloudoperation,chg-prod-tanzu-k8s
monitor-logging,chg-prod-e2proxy-tkc,chg-prod-e2proxy-tkc-cloudoperation,chg-prod-tanzu-k8s
k8smonitor,chg-prod-e2proxy-tkc,chg-tanzu-monitor,chg-prod-tanzu-k8s
monitor-zabbix,chg-prod-e2proxy-tkc,chg-tanzu-monitor,chg-prod-tanzu-k8s
e2proxy,chg-prod-e2proxy-walkme-tkc,chg-prod-ci-apps-tkc-ci-developer,chg-prod-tanzu-k8s
monitor-log-testbench,chg-prod-e2proxy-walkme-tkc,chg-prod-e2proxy-walkme-tkc-cloudoperation,chg-prod-tanzu-k8s
monitor-logging,chg-prod-e2proxy-walkme-tkc,chg-prod-e2proxy-walkme-tkc-cloudoperation,chg-prod-tanzu-k8s
k8smonitor,chg-prod-e2proxy-walkme-tkc,chg-tanzu-monitor,chg-prod-tanzu-k8s
monitor-zabbix,chg-prod-e2proxy-walkme-tkc,chg-tanzu-monitor,chg-prod-tanzu-k8s
feeds-es-prod,chg-prod-rdm-tkc,chg-rdm-prod,chg-prod-tanzu-k8s
rdm-es-prod,chg-prod-rdm-tkc,chg-rdm-prod,chg-prod-tanzu-k8s
rdm-prod,chg-prod-rdm-tkc,chg-rdm-prod,chg-prod-tanzu-k8s
watermill,chg-prod-sharedservices-tkc,chg-prod-sharedservices,chg-prod-tanzu-k8s
temporal,chg-prod-sharedservices-tkc,chg-prod-temporal,chg-prod-tanzu-k8s
chg-prod-sharedservices,chg-prod-sharedservices-tkc,fra-prod-sharedservices,chg-prod-tanzu-k8s
ocular,chg-prod-sharedservices-tkc,fra-prod-sharedservices,chg-prod-tanzu-k8s
infosec-fwdproxy,den-tanzu-ci-apps-tkc,denver-infosec,denver-tanzu
e2proxy,den-tanzu-e2proxy-tkc,den-e2proxy,denver-tanzu
e2proxy,den-tanzu-e2proxy-walkme-tkc,den-e2proxy,denver-tanzu
catx,e2dev-tanzu-ci-tkc,catx,e2open-dev-tanzu
clamav,e2dev-tanzu-ci-tkc,dev-cops,e2open-dev-tanzu
ci,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
ci-cdm,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
e2net-dai,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
e2proxy,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
k8sinframonitor,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
k8sservicemonitor,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-log-testbench,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-logging,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-observability-testbench,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-zabbix,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
ci-buildenv,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-helm,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-productqa,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-projectdev,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-psr,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
devops-test,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
jfrog,e2dev-tanzu-ci-tkc,jfrog,e2open-dev-tanzu
temporal,e2dev-tanzu-ci-tkc,temporal,e2open-dev-tanzu
ocular,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
watermill,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
watermill-2nd,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
watermill-3rd,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
wm-dev,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
wm-psr,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
ppi,e2dev-tanzu-cs-tkc,default,e2open-dev-tanzu
awx,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
