namespace,clustername,workspace,mgmtcluster
catx,e2dev-tanzu-ci-tkc,catx,e2open-dev-tanzu
clamav,e2dev-tanzu-ci-tkc,dev-cops,e2open-dev-tanzu
ci,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
ci-cdm,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
e2net-dai,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
e2proxy,e2dev-tanzu-ci-tkc,dev-tanzu-ci,e2open-dev-tanzu
k8sinframonitor,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
k8sservicemonitor,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-log-testbench,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-logging,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-observability-testbench,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
monitor-zabbix,e2dev-tanzu-ci-tkc,dev-tanzu-monitor,e2open-dev-tanzu
ci-buildenv,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-helm,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-productqa,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-projectdev,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
ci-psr,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
devops-test,e2dev-tanzu-ci-tkc,e2dev-tanzu-ci-tkc-ci-developer,e2open-dev-tanzu
jfrog,e2dev-tanzu-ci-tkc,jfrog,e2open-dev-tanzu
temporal,e2dev-tanzu-ci-tkc,temporal,e2open-dev-tanzu
ocular,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
watermill,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
watermill-2nd,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
watermill-3rd,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
wm-dev,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
wm-psr,e2dev-tanzu-ci-tkc,watermill-developement-team,e2open-dev-tanzu
ppi,e2dev-tanzu-cs-tkc,default,e2open-dev-tanzu
awx,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
awx-qa,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
cdmplatform,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
crp-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
cvis-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
feeds,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
fm-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
ft-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
ppi-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
sso,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
sso-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
tp-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
trueid-dev,e2dev-tanzu-cs-tkc,dev-cs-rndteam,e2open-dev-tanzu
monitor-zabbix,e2dev-tanzu-cs-tkc,dev-tanzu-monitor,e2open-dev-tanzu
feeds-es-qa,e2dev-tanzu-rdm-devqa-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-es-qa,e2dev-tanzu-rdm-devqa-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-qa,e2dev-tanzu-rdm-devqa-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-devint,e2dev-tanzu-rdm-tkc,dev-rdm-qa,e2open-dev-tanzu
rdm-es-devint,e2dev-tanzu-rdm-tkc,dev-rdm-qa,e2open-dev-tanzu
monitor-zabbix,e2dev-tanzu-rdm-tkc,dev-tanzu-monitor,e2open-dev-tanzu
e2flow-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
feeds-es-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
rdm-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
rdm-es-dev,e2dev-tanzu-rdm-tkc,rdm-rndteam,e2open-dev-tanzu
awx,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
awx-qa,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
cdmplatform,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
crp,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
crp-dev,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
cvis,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
cvis-dev,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
dealreg,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
feeds,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
fm-dev,sv4-dev-channel,sv4-dev-channel,e2open-dev-tanzu
catx,sv4-dev-ci,catx,e2open-dev-tanzu
ci,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-buildenv,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-cdm,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-helm,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-productqa,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-projectdev,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
ci-psr,sv4-dev-ci,sv4-dev-ci,e2open-dev-tanzu
clamav,sv4-dev-cops,dev-cops,e2open-dev-tanzu
devops-test,sv4-dev-devtools,dev-demo-tkc,e2open-dev-tanzu
artifactory,sv4-dev-devtools,dev-tanzu-ci,e2open-dev-tanzu
jenkins,sv4-dev-devtools,dev-tanzu-ci,e2open-dev-tanzu
trivy,sv4-dev-devtools,dev-tanzu-ci,e2open-dev-tanzu
e2net-artemis,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-dev421,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-es,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-kosh,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-zk,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2netpsr,sv4-dev-e2net,sv1-dev-e2net,e2open-dev-tanzu
e2net-es-psr,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
e2net-kosh-psr,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
watermill-client,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
watermill-client-dev,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
watermill-client1,sv4-dev-e2net,sv4-dev-e2net,e2open-dev-tanzu
e2proxy,sv4-dev-e2proxy,sv4-dev-e2proxy,e2open-dev-tanzu
cargoscreening-dev,sv4-dev-gtm,dev-cargoscreening-devteam,e2open-dev-tanzu
import,sv4-dev-gtm,sv4-dev-gtm,e2open-dev-tanzu
e2net-dai,sv4-dev-rnd-sandbox,sv4-dev-rnd-sandbox,e2open-dev-tanzu
catx,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
discussion-service,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
e2search-zk,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
feeds-es-dev,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
feeds-es-qa,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
kosh,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
kosh-psr,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
ocular,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-dev,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-devint,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-es-dev,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-es-devint,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-es-qa,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
rdm-qa,sv4-dev-sharedservices,sv4-dev-sharedservices,e2open-dev-tanzu
