namespace,clustername,workspace,mgmtcluster
rdm-es-uat,fr8-stg-e2net-cdm-platform,fr8stg-rdm,attached
rdm-uat,fr8-stg-e2net-cdm-platform,fr8stg-rdm,attached
e2net-es,fr8-stg-e2net,fr8-stg-e2net,e2open-fr8-stg-tanzu
e2net-kosh,fr8-stg-e2net,fr8-stg-e2net,e2open-fr8-stg-tanzu
e2net-zk,fr8-stg-e2net,fr8-stg-e2net,e2open-fr8-stg-tanzu
feeds-es-uat,fr8-stg-sharedservices,fr8-stg-sharedservices,e2open-fr8-stg-tanzu
kosh,fr8-stg-sharedservices,fr8-stg-sharedservices,e2open-fr8-stg-tanzu
watermill,fr8-stg-sharedservices,fr8-stg-sharedservices,e2open-fr8-stg-tanzu
ci-apps,stg-fra-ci-apps-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
e2proxy,stg-fra-e2proxy-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
e2proxy,stg-fra-e2proxy-walkme-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
e2proxy-walkme,stg-fra-e2proxy-walkme-tkc,stg-fra-ci-developer,e2open-fr8-stg-tanzu
cargoscreening-stg,stg-cargoscreening-tkc,stg-cargoscreening-devteam,e2stg-tanzu
awx-demo,stg-cdm-awx-tkc,stg-cs-rndteam,e2stg-tanzu
awx-staging,stg-cdm-awx-tkc,stg-cs-rndteam,e2stg-tanzu
crp,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
cvis,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
cvissb,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
feeds,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
ppi,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
sso,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
trueid,stg-cdm-ppi-tkc,stg-cdm-ppi-ws,e2stg-tanzu
ingress-nginx,stg-shared-service-tkc,stg-shared-service,e2stg-tanzu
stg-shared-service-access,stg-shared-service-tkc,stg-shared-service,e2stg-tanzu
watermill,stg-shared-service-tkc,watermill-stg-dev-team,e2stg-tanzu
ci-apps,stg-tanzu-ci-apps-tkc,stg-tanzu-ci,e2stg-tanzu
k8sinframonitor,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
k8sservicemonitor,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
monitor-log-testbench,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
monitor-logging,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
monitor-observability-testbench,stg-tanzu-ci-apps-tkc,stg-tanzu-ci-apps-tkc-cloudoperation,e2stg-tanzu
k8smonitor,stg-tanzu-ci-apps-tkc,stg-tanzu-monitor,e2stg-tanzu
monitor-zabbix,stg-tanzu-ci-apps-tkc,stg-tanzu-monitor,e2stg-tanzu
watermill,stg-tanzu-ci-apps-tkc,watermill-stg-dev-team,e2stg-tanzu
